g,LeveleV
9,0.0000000,
11,0.1398611,
13,0.2934206,
15,0.4564721,
17,0.6259469,
13,0.8386553,
11,0.8497870,
15,1.0417756,
13,1.0429427,
11,1.0508101,
13,1.0911095,
9,1.1262493,
13,1.1301274,
15,1.2016892,
9,1.2168656,
7,1.2308391,
15,1.2323662,
11,1.2404102,
15,1.2420477,
3,1.2545921,
17,1.2597553,
11,1.2865644,
5,1.2980486,
9,1.3232302,
13,1.3359207,
17,1.3371608,
17,1.3511795,
11,1.3537531,
7,1.3639939,
11,1.3773173,
13,1.3773612,
7,1.3785141,
13,1.3860249,
9,1.4085589,
7,1.4104157,
9,1.4240940,
17,1.4511904,
13,1.4646010,
3,1.468194,
19,1.4738913,
15,1.4776874,
19,1.4828214,
5,1.486573,
9,1.4868666,
11,1.4889518,
15,1.4948557,
11,1.4959694,
19,1.5079134,
11,1.5099593,
7,1.520651,
7,1.5336188,
11,1.5366924,
13,1.5505159,
15,1.5635908,
9,1.5651982,
15,1.5785425,
7,1.5791767,
13,1.5915895,
9,1.5967309,
17,1.5996964,
13,1.6015562,
15,1.6027725,
9,1.6139172,
21,1.6243679,
9,1.6262867,
13,1.6359925,
13,1.6461159,
17,1.6531439,
5,1.6888886,
7,1.6899494,
11,1.6913720,
9,1.6952175,
17,1.7019249,
7,1.7027366,
7,1.7087304,
15,1.7108406,
15,1.7109547,
11,1.7229305,
19,1.7300241,
9,1.7336334,
11,1.7509620,
23,1.7734836,
13,1.7739758,
11,1.7744611,
15,1.7764007,
7,1.7901886,
17,1.7936769,
11,1.8198272,
19,1.8210731,
15,1.8253153,
17,1.8265600,
17,1.8324976,
11,1.8346068,
9,1.8352073,
17,1.8512366,
21,1.8688390,
11,1.8738917,
13,1.8871393,
9,1.8889718,
5,1.9071634,
15,1.9089339,
7,1.9198568,
11,1.9245964,
17,1.9259656,
13,1.9339220,
9,1.9341516,
11,1.9373740,
9,1.9488736,
13,1.9514716,
13,1.9565148,
19,1.9632296,
9,1.9667689,
7,1.9712126,
11,1.9872249,
9,1.9910859,
21,1.995161,
13,1.9996594,
11,2.0040572,
9,2.0097640,
11,2.0157076,
15,2.0188133,
15,2.0317950,
13,2.0653817,
15,2.0763577,
11,2.0776078,
19,2.0818505,
13,2.0825357,
11,2.0884944,
15,2.0885619,
7,2.1051713,
9,2.1117170,
13,2.1182787,
11,2.1279321,
13,2.1371714,
15,2.1436422,
9,2.1473767,
11,2.1557787,
17,2.1623214,
9,2.1886742,
13,2.2005725,
7,2.2053059,
9,2.2056811,
11,2.2057549,
15,2.2115644,
17,2.2284063,
7,2.2288500,
11,2.2354078,
11,2.2401393,
11,2.2482668,
15,2.2495304,
13,2.2530184,
13,2.2626217,
11,2.2626848,
15,2.2635553,
11,2.2694564,
9,2.2857736,
13,2.2870796,
7,2.3048540,
11,2.3094911,
13,2.3159181,
19,2.3197275,
11,2.3225409,
9,2.3236296,
17,2.3673461,
13,2.3745553,
9,2.3816450,
19,2.3827457,
11,2.3837751,
15,2.3893292,
13,2.3905478,
13,2.4088320,
9,2.4288803,
11,2.4360443,
11,2.4425948,
15,2.4482173,
9,2.4511065,
11,2.4568685,
17,2.4626789,
21,2.4715611,
9,2.4743296,
13,2.4790288,
9,2.4854683,
13,2.4944373,
11,2.5016183,
13,2.5133671,
7,2.5146422,
11,2.5169877,
9,2.5244017,
13,2.5332930,
9,2.5390677,
11,2.5400422,
19,2.5445866,
11,2.5468627,
15,2.5520771,
7,2.5534440,
13,2.5631281,
13,2.5668589,
11,2.5822997,
13,2.5837323,
9,2.5862562,
13,2.5935088,
11,2.5990896,
11,2.6043425,
9,2.6048006,
15,2.6068319,
9,2.6265905,
7,2.6318808,
15,2.6333533,
15,2.6334671,
9,2.6355771,
11,2.6373329,
15,2.6391247,
13,2.6426307,
9,2.6426536,
13,2.6465136,
9,2.6465465,
11,2.6484778,
13,2.6517944,
15,2.6546905,
11,2.6618341,
9,2.6642208,
13,2.6710320,
11,2.6729500,
7,2.6746628,
15,2.6830243,
13,2.6927295,
11,2.6937763,
9,2.6976827,
13,2.7025952,
13,2.7139718,
15,2.7163250,
11,2.7182466,
9,2.7185895,
7,2.7216850,
9,2.7289344,
15,2.7328064,
13,2.7338188,
9,2.7371545,
13,2.7427383,
13,2.7430138,
11,2.7435967,
3,2.7443243,
11,2.7514942,
7,2.7552066,
7,2.7560447,
11,2.7576455,
11,2.7593743,
13,2.7652255,
15,2.7673633,
11,2.7731878,
11,2.7780581,
9,2.7860750,
15,2.7875075,
7,2.7885249,
11,2.7934101,
13,2.7970923,
11,2.8027453,
15,2.8039248,
9,2.8047705,
9,2.8048685,
7,2.8059471,
9,2.8116901,
17,2.8120810,
15,2.8151331,
11,2.8189907,
13,2.8192581,
15,2.8220589,
9,2.8286499,
11,2.8286856,
13,2.8356037,
13,2.8360956,
7,2.8404736,
7,2.8429502,
15,2.8440405,
7,2.8462433,
9,2.8536838,
13,2.8566626,
11,2.8578060,
11,2.8597570,
9,2.8626315,
13,2.8651444,
11,2.8733643,
11,2.8762016,
9,2.8769058,
7,2.8786564,
13,2.8791568,
11,2.8816302,
13,2.8816929,
7,2.8824334,
15,2.8850484,
9,2.8857816,
11,2.8864872,
13,2.8868028,
13,2.8918419,
9,2.8946281,
13,2.8951294,
11,2.9054259,
9,2.9059962,
17,2.9104079,
7,2.9120268,
13,2.9131331,
15,2.9158296,
13,2.9203053,
9,2.9214107,
11,2.9217137,
11,2.9226856,
13,2.9233456,
17,2.9325649,
15,2.9439796,
13,2.9453376,
7,2.9460964,
11,2.9510033,
9,2.9518820,
11,2.9544877,
9,2.9565136,
7,2.9590168,
15,2.9603610,
13,2.9618917,
17,2.9697799,
9,2.9698427,
13,2.9711743,
11,2.9716917,
13,2.9717862,
13,2.9738634,
15,2.9745171,
13,2.9751884,
9,2.9757535,
9,2.9843295,
17,2.9852643,
17,2.9906821,
13,2.9937998,
17,2.9965363,
9,2.997427,
11,3.0002353,
15,3.0020205,
15,3.0026303,
9,3.0035978,
17,3.0042958,
9,3.0063019,
15,3.0078679,
19,3.0084755,
19,3.0084755,
15,3.0091851,
11,3.0118155,
11,3.0208056,
11,3.0287574,
9,3.0350724,
15,3.0412594,
19,3.0449004,
5,3.0450067,
11,3.0472813,
11,3.0478001,
11,3.0483044,
13,3.0487681,
9,3.0507707,
9,3.0592564,
17,3.0609560,
13,3.0627302,
15,3.0660744,
11,3.0680869,
13,3.0687387,
17,3.0715077,
7,3.0717293,
15,3.0739847,
15,3.0774388,
15,3.0817959,
11,3.0833403,
13,3.0899850,
13,3.0905252,
11,3.0914837,
19,3.0915579,
15,3.0956982,
13,3.0976439,
15,3.1002639,
15,3.1028769,
17,3.1054070,
15,3.1075052,
11,3.1088764,
13,3.1138402,
19,3.1171538,
7,3.1199880,
17,3.1231533,
17,3.1232574,
13,3.1239622,
15,3.1241247,
13,3.1252784,
11,3.1277645,
17,3.1344371,
7,3.1346162,
13,3.136937,
15,3.1429467,
13,3.1435654,
17,3.1470779,
15,3.1471968,
13,3.1519534,
9,3.1551578,
11,3.1554474,
11,3.1579349,
9,3.1586884,
13,3.1588861,
7,3.1615884,
15,3.1620903,
17,3.1632982,
19,3.1639156,
17,3.1652436,
15,3.1658517,
7,3.1671900,
11,3.1684451,
15,3.1735654,
17,3.1736166,
5,3.1745869,
13,3.1751575,
11,3.1764315,
9,3.1766146,
15,3.1769178,
9,3.1790659,
7,3.1792598,
13,3.1816925,
13,3.1832013,
17,3.1868471,
17,3.1913788,
13,3.1921485,
13,3.1927041,
7,3.1972772,
9,3.1976864,
7,3.2015978,
15,3.2049119,
11,3.2067655,
15,3.2094236,
13,3.2134522,
11,3.2142236,
13,3.2253428,
13,3.2270434,
11,3.2271940,
7,3.2311131,
11,3.2325538,
7,3.2354924,
15,3.2428014,
7,3.2437750,
